BM Units Registered with Central Registration Agency 
 
BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,WDCALF,NWDCALF,SECALF,WDBMCAIC,NWDBMCAIC,WDBMCAEC,NWDBMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__AALAB000,"ALAB_A","Square1 Energy Limited",ALAB,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,0,0,.3823,.3309,.21,0,0,0,0,F,T,F,,01/03/24,F,F
2__AALTI000,"2__AALTI000","Co-operative Energy Limited",VOLA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,0,-4.38,.3823,.3309,.21,-1.674,-1.449,0,0,F,T,F,,01/03/24,F,F
2__AANGE000,"2__AANGE000","Limejump Energy Limited",ANGEL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,139.329,-20.52,.113,.0915,.21,-2.319,-1.878,15.744,12.749,F,T,F,,01/03/24,F,F
2__AANGE001,"2__AANGE001","Limejump Energy Limited",ANGEL,S,"AG-ALIM02",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,80,-1,.3823,.3309,.21,-.382,-.331,30.584,26.472,F,T,F,,01/03/24,F,F
2__AANGE002,"2__AANGE002","Limejump Energy Limited",ANGEL,S,"AG-ALIM03",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,50,0,.3823,.3309,.21,0,0,10.5,10.5,F,T,T,,01/03/24,F,F
2__AANGE003,"2__AANGE003","Limejump Energy Limited",ANGEL,S,"AG-ALIM04",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,0,0,.3823,.3309,.21,0,0,0,0,F,T,F,,01/03/24,F,F
2__AANGE004,"2__AANGE004","Limejump Energy Limited",ANGEL,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,0,0,.3823,.3309,.21,0,0,0,0,F,T,F,,01/03/24,F,F
2__AARIZ000,"ARIZ_A","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,0,0,.3823,.3309,.21,0,0,0,0,F,T,F,,01/03/24,F,F
2__AARRU000,"2__AARRU000","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,0,-1.34,.3823,.3309,.21,-.512,-.443,0,0,F,T,F,,01/03/24,F,F
2__AAVRO000,"AVRO_A","Octopus Energy Limited",MERCURY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.0052759,0,-2.498,.3823,.3309,.21,-.955,-.827,0,0,F,T,F,,01/03/24,F,F
